	NK.c06.CD56brightCD16lo.CREM	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c02.CD56brightCD16lo.GZMH	NK.c13.CD56dimCD16hi.NR4A3	NK.c12.CD56dimCD16hi.DNAJB1	NK.c10.CD56dimCD16hi.NFKBIA	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c01.CD56brightCD16hi	NK.c09.CD56dimCD16hi.ZNF90	NK.c11.CD56dimCD16hi.MKI67
ECT2	6.66E-06	1.12E-05	1.00E-08	1.15E-05	1.00E-08	3.26E-06	7.09E-06	7.75E-07	4.22E-06	1.00E-08	1.20E-05	1.00E-08	6.88E-05
NAALADL2	2.54E-06	3.20E-06	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	3.58E-05	1.00E-08	1.00E-08
TBL1XR1	6.47E-05	8.13E-05	0.000117359	0.000183739	5.09E-05	4.02E-05	3.21E-05	4.36E-05	2.53E-05	5.08E-05	0.000226932	4.59E-05	3.98E-05
ZMAT3	3.29E-05	5.58E-05	7.59E-05	4.59E-05	6.11E-05	5.67E-05	4.58E-05	6.50E-05	5.47E-05	7.52E-05	1.20E-05	0.000107173	4.71E-05
PIK3CA	1.71E-05	1.44E-05	2.76E-05	3.45E-05	1.02E-05	1.68E-05	1.03E-05	1.61E-05	2.11E-05	2.45E-05	4.78E-05	1.53E-05	3.63E-06
KCNMB3	4.85E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.93E-07	2.88E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ZNF639	2.64E-05	4.15E-05	4.14E-05	1.00E-08	2.04E-05	2.21E-05	2.51E-05	2.98E-05	4.21E-05	3.76E-05	2.39E-05	3.06E-05	2.53E-05
MFN1	1.82E-05	2.07E-05	2.76E-05	3.45E-05	4.07E-05	1.78E-05	1.74E-05	2.83E-05	2.95E-05	3.20E-05	4.78E-05	1.53E-05	3.63E-06
GNB4	7.61E-06	1.44E-05	6.91E-06	2.30E-05	1.02E-05	1.78E-06	2.23E-06	3.07E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.45E-05
ACTL6A	2.52E-05	3.83E-05	2.07E-05	6.89E-05	4.07E-05	2.03E-05	2.30E-05	3.14E-05	2.11E-05	4.33E-05	9.56E-05	3.06E-05	0.000123059
NDUFB5	7.88E-05	8.93E-05	6.21E-05	0.000126324	0.000101831	6.76E-05	9.26E-05	8.19E-05	9.26E-05	0.000110969	2.39E-05	0.000122482	9.77E-05
USP13	6.97E-06	1.28E-05	1.38E-05	1.00E-08	1.00E-08	5.52E-06	4.17E-06	3.07E-06	4.22E-06	7.53E-06	2.39E-05	1.00E-08	1.09E-05
